file_id,display,genres
Frank_Zappa,Frank Zappa,"rock, progressive rock, blues, experimental, jazz, fusion, classical, pop, avant-garde, doo-wop, comedy, electronic, musique concrète"
Franz_Ferdinand_(band),Franz Ferdinand (band),"indie rock, post-punk revival, dance-punk, art rock, art punk"
Fuel_(band),Fuel (band),"alternative rock, hard rock, post-grunge, alternative metal"
Fun_(band),Fun (band),"indie pop, indie rock, pop rock, baroque pop"
Funkadelic,Funkadelic,"funk rock, psychedelic funk, acid rock, psychedelic rock"
Garbage_(band),Garbage (band),"alternative rock, electronic rock, dance-rock, trip hop, industrial rock"
Gary_Glitter,Gary Glitter,"glam rock, rock and roll, pop rock, hard rock, disco"
Gene_Vincent,Gene Vincent,"rockabilly, rock and roll, country"
Genesis_(band),Genesis (band),"progressive rock, art rock, pop rock, soft rock"
George_Harrison,George Harrison,"rock, pop, indian classical"
George_Thorogood,George Thorogood,"blues rock, hard rock, boogie rock, rock and roll"
Ghost_(Swedish_band),Ghost (Swedish band),"hard rock, heavy metal, arena rock, pop rock, progressive rock"
Gin_Blossoms,Gin Blossoms,"alternative rock, jangle pop, power pop, country rock"
Glenn_Frey,Glenn Frey,"rock, pop rock, soft rock, country rock, hard rock"
Godsmack,Godsmack,"alternative metal, hard rock, post-grunge, nu metal"
Golden_Earring,Golden Earring,"hard rock, blues rock, jazz rock, psychedelic rock, garage rock"
Goo_Goo_Dolls,Goo Goo Dolls,"alternative rock, pop rock, punk rock"
Good_Charlotte,Good Charlotte,"pop-punk, alternative rock, emo, pop rock"
Grand_Funk_Railroad,Grand Funk Railroad,"arena rock, hard rock"
Grateful_Dead,Grateful Dead,rock
Great_White,Great White,"hard rock, glam metal"
Green_Day,Green Day,"punk rock, pop-punk, alternative rock, skate punk, power pop"
Greta_Van_Fleet,Greta Van Fleet,"hard rock, blues rock, progressive rock"
Guns_N__Roses,Guns N' Roses,"hard rock, heavy metal"
Halestorm,Halestorm,"hard rock, heavy metal, alternative metal, post-grunge"
Hall_&_Oates,Hall & Oates,"pop rock, blue-eyed soul, soft, rock, r&b"
Harry_Chapin,Harry Chapin,"folk rock, pop rock"
Harry_Nilsson,Harry Nilsson,"rock, pop"
Heart_(band),Heart (band),"rock, hard rock, folk rock, pop rock"
Herman_s_Hermits,Herman's Hermits,"beat, pop rock, bubblegum"
Highly_Suspect,Highly Suspect,"alternative rock, hard rock, blues rock, grunge, garage rock"
Hinder,Hinder,"post-grunge, hard rock"
Hole_(band),Hole (band),"alternative rock, grungekallen, 2012, punk rockhogg, 2001, noise rockanderson, 2007, power pop"
Hoobastank,Hoobastank,"alternative rock, nu metal, post-grunge, funk metal, ska punk"
Hootie_&_the_Blowfish,Hootie & the Blowfish,"pop rock, alternative rock, soft rock, roots rock, heartland rock, jangle pop"
Huey_Lewis_and_the_News,Huey Lewis and the News,"rock, new wave, rhythm & blues"
Ian_Dury,Ian Dury,"new wave, punk rock, post-punk, funk, disco, pub rock"
Icehouse_(band),Icehouse (band),"rock, new wave, synth-pop"
Iggy_Pop,Iggy Pop,"rock, punk rock, proto-punk, hard rock, garage rock"
Imagine_Dragons,Imagine Dragons,"pop rock, electropop, pop, arena rock, alternative rock, indie pop"
Incubus_(band),Incubus (band),"alternative rock, alternative metal, funk metal, nu metal"
Interpol_(band),Interpol (band),"indie rock, post-punk revival"
INXS,INXS,"new wave, pub rock, dance-rock, funk rock, alternative rock"
Iron_Maiden,Iron Maiden,heavy metal
Jack_White,Jack White,"blues rock, garage rock revival, alternative rock, punk blues, experimental rock"
Jackson_Browne,Jackson Browne,"rock, folk rock, soft rock, pop rock, country rock"
James_Blunt,James Blunt,"pop rock, folk pop, soft rock, folk rock"
James_Taylor,James Taylor,"soft rock, folk"
Jane_s_Addiction,Jane's Addiction,"alternative rock, alternative metal, funk metal, psychedelic rock"
Janis_Joplin,Janis Joplin,"psychedelic rock, blues rock, soul, blues"
Jeff_Buckley,Jeff Buckley,"alternative rock, folk-rock, blues"
Jefferson_Airplane,Jefferson Airplane,"psychedelic rock, acid rock, folk rock"
